,Club Desctiption
234,"UW Cantonese Chinese Christian Fellowship (UWcCCF) is a Christian group on campus with a focus in Cantonese and English speaking students. We aim to build a community of Christian believers on campus, equip members with biblical knowledge, and evangelize others at the University of Waterloo. UWcCCF consists of mostly Christians rooted in Cantonese culture or from a Hong Kong background, however, anyone is welcome to learn more about God, connect with brothers and sisters, and share their love to people around them. We run various interactive activities during our weekly meetings, such as Bible studies, worship, prayer nights, games and outreach services. Please browse our Facebook page to know more about us! We look forward to seeing you!"
235,"Other information:
	Fellowship meeting time for Winter 2019: Every Tuesday
	6:30 pm Prayer Meeting
	7 pm Fellowship
	Location: DWE 3522
	 "
236,"UWMP creates a parliamentary environment for students who wish to 
	participate in Model Parliament, and teaches them about the political 
	world."
237,"UW NDP represents members and supporters of the New Democratic Party at the University of Waterloo. We provide a forum for discussing issues of concern of the student population, support the policies of the Party through political engagement, and support campaigns to elect candidates of the Party in elections."
238,"The University of Waterloo Sports Business Association (UWSBA) is a student run club that provides opportunities to like-minded individuals who share the same passion for sports, business and innovation."
239,"The University of Waterloo Aviation Society aims to represent and provide opportunities for University of Waterloo Aviation Students, as well as foster a community for those interested in Aviation."
240,"The UW Blockchain club is a network of students interested in Blockchain technology.
	After Bitcoin was released, people soon realized the immutable structure of Blockchains can be extended to be much more than just a store of value. At UW Blockchain Club, we discuss that underlying technology and it's implications."
241,"A social club for people to gather and discuss various literary works of the written format, both fiction and non-fiction. And can include a variety of topics that include (but is not limited to): Science, science fiction, fantasy, suspense/thriller, romance, self-help, business/technology, etc."
242,"UW Chinese Literature Connection (UWCLC), creates a platform for sharing and discussing Chinese literature and arts. It also welcomes a variety of original artistic works, including novels, essays, poems, paintings, and calligraphy."
243,"A club for teaching the art of magic, cardistry, and performance. No experience required!"
244,"UW OneMatch is a club focused on raising awareness about bone marrow stem cells, while working on increasing the number of registered stem cell donors in our nation, starting with the University of Waterloo."
245,"Opportutoring is an organization that is striving to expand the horizons of resettled refugees. While a great number of refugees are highly qualified, they sometimes cannot overcome the language barrier in order to grasp opportunities around them. As a tutor, you will be expected to commit 2-3h per week to teach English to a political refugee via Skype. No prior tutoring experience required.
	 "
246,"UW Pokémanaics is a group for all types of Pokémon lovers. You can enjoy the video games, trading card game, the anime, manga, art, music and anything else related to Pokémon. This clubs is for casual and competitive players, or people who want to learn how to play. We also will be hosting a number of tournaments sanctioned by Play! Pokémon, the official organised play subsidiary of The Pokémon Company International."
247,"Joining the club is free, and all meeting and tournaments are optional. So why not bring out your 3DS or decks to put them to the test!"
248,"While rooted in a rich history of playing Trivial Pursuit at the now-defunct Bombshelter, the modern incarnation of our club comes together to compete in intra-university and inter-university scholastic competitions, primarily Quizbowl. In short, we play trivia and have fun doing so. If you like trivia too, feel free to drop by.
	 "
249,Currently meeting on Mondays at 6:30 in RCH 208. More recent information is available on the facebook page. 
250,"UW UNICEF aims to unite students to work together to educate, raise funds and bring fourth everlasting change. It is apart of the UNICEF on campus initiative to help make a difference locally."
251,"UW VR is Canada's first University based Virtual Reality club. It is dedicated to promoting the different applications of VR, the development of VR content and making it accessible to the general UWaterloo student body by holding various events and projects. "
252,"The UW Young Greens is a University of Waterloo club for those interested in learning more about the Green Party of Canada, whether or not they are an active supporter. We hope to share the Green Party’s values with others, and discuss how they fit in with today's society. There will be events and discussions in tune with these values, promoting political conversation on campus and with the community."
253,"The key values that the club will maintain are:
	• Sustainability
	• Social Justice
	• Grassroots Democracy
	• Nonviolence
	• Decentralization
	• Community-Based Economics
	• Gender Equality/Feminism
	• Diversity
	• Personal and Global Responsibility
	• Ecological Wisdom
	(from the Green Party of Ontario)
	We will be involved in local Green Party events and run workshops, skills training, social functions (think: Green Drinks!), and encourage discussion on political involvement for the benefit of the environment (And more!). If anyone has any fun ideas, please share!
	Anyone is welcome to join, but there will be some student focus and only current UW students can vote!
	Email: UWYoungGreens@gmail.com"
254,"Youth Horizon is a club founded by the passion to enable and empower youth in society; For a better future, and for a better economy. We  find there is nothing more empowering than knowledge and individual skills, hence our goal as a team is to promote and engage individuals towards pursuing one life-long learning career."
255,We value youth. We value diversity. We are committed to change.
256,Youth Horizon is the future of today’s youth. Changing tomorrow starts with our youth today.
257,"We are UW VSA, (The University of Waterloo Vietnamese Student Association) one of the many cultural clubs under the Federation of Students. But, UW VSA is more than just a cultural club. It’s a space where students can discover, connect and engage with the Vietnamese community we have here at the University of Waterloo. UW VSA represents a place where students living away from home can experience and share their culture with those around them. For some who feel disconnected with their heritage, it’s a place where they can return to their roots. For others, it could simply be a community for those who want to know more about our unique and lively culture."
258,"UW VSA has been and continues to be an active presence at the University of Waterloo. Throughout the years, our community of members has continued to grow, and while our club has experienced transitions and changes, we’ve always held true to the values and traditions held by each of our predecessors. UW VSA in essence is a community that we like to think of as one big family. We strive to establish strong and close-knit connections between all our members, and build friendships that will last not only during your years here at UW but beyond that as well!"
259,"To the University of Waterloo, we are your connection to Vietnamese culture, Vietnamese traditions, and the Vietnamese community. UWVSA strengthens the campus community through organizing social events, cultural events, and collaborations. "
260,"The UWVSA operates on the premise of being inclusive. The club shall not be discriminatory in terms of, but not limited to race, ethnicity, religion, gender, citizenship, sexual orientation, physical ability, mental ability, marital, social, or financial status."
261,Visual Arts Club promotes all types of mediums through various themes of expression. Open to all students. At the end of each term we run a Visual Arts show to display members' work. Meetings occur weekly. 
262,"A club made for young artists like yourself to have the platform to speak, create, and share your written weapons to the community at large. Whether it be through poetry or spoken word, we hope to encourage you to share your talent or passion with us."
263,"AAFW aims to create an open atmosphere for the exchange of ideas and debates of current events in a safe forum, from the perspective of atheists, agnostics, and freethinkers. Adherence to such beliefs is not required for membership to the club. We aim to provide a community for non-theists and to promote a culture of acceptance in the larger community for those who do not hold religious beliefs."
264,The UW Geospatial Club runs workshops that teach geospatial analysis and data modelling skills across multiple GIS platforms. The club also performs volunteer geospatial consulting work for a number of community organizations.
265,"The Waterloo Ismaili Students Association (WISA) is a not-for-profit organization that primarily provides a venue for Ismaili Muslim students attending UW to congregate for daily prayers. The club emphasizes a strong sense of community and also holds educational, social, and sports events for our members, in which the greater community is often encouraged to participate."
266,"The Waterloo Movie Watchers club provides a medium where members watch and share appreciation for various types movies. We meet up once a week to watch a movie, critically analyze it and discuss it within the group. We recognize the importance of movies as a factor influencing culture and civilization as a whole. We meet every week to watch a movie as an entertainment, as well as a social gathering."
267,An organization of motivated pharmacy students at the University of Waterloo School of Pharmacy with a keen interest in oncology.
268,We are the only Ski/Snowboard club on campus. By signing up for WSC you are entitled to:
269,And much more...
270,"The Vegeration club at the University of Waterloo is a community of individuals that are vegan, vegetarian, or otherwise. It is intended to educate people on information concerning vegan/vegetarian, health, and environmental issues. We plan to hold meetings, educational seminars, social outings, and plan trips in regards to the vegetarian and vegan diet."
271,Membership is open to all members of the University of Waterloo and members of the community at large of which only University of Waterloo students (graduate and undergraduate) may hold executive positions.
272,"The purpose of the Waterloo Warlords Paintball Club is to gather students, staff and faculty to create a paintballing community at the University of Waterloo. Our aim is to educate those in the community on paintball practices and safety standards by holding meetings, practices, training sessions, social outings and paintball events. Our motto Take the HILL, is based off of the fundamentals of our style of play. We are always encouraging our members to take the path of Honesty, Integrity, Loyalty and Leadership. Please check out our website and contact us for more information about joining the club. See you on the field!"
273,"WaterlUX is a new club on the University of Waterloo main campus where students can gather in mutual appreciation of amazing user experience. Founded by Clarisse Schneider and Kevin Lau in Fall 2013, WaterlUX focuses on all aspects of frontend design, including elegant code, intuitive workflow, tailored information, and beautiful design. Equal parts discovering and sharing, we emphasize learning outside the classroom and putting those lessons into practice with side projects at every level. We welcome UWaterloo students from any undergraduate or graduate program to come out to our meetings, share their experiences, and learn something new!"
274,"WatSFiC is the University of Waterloo's Science Fiction, Fantasy, and Gaming Club. Originally founded to promote interest in science fiction literature, the club's mandate has since broadened to include all forms of science fiction and fantasy media. Today, WatSFiC boasts the second longest running D&D-Format Tournament in North America, a highly popular Humans vs. Zombies game, an extensive library of science fiction, fantasy, and gaming literature, and much more."
275,"Wings Over Waterloo is for aviation enthusiasts. The club's main purpose is for students to meet contacts and create connections with other aviation enthusiasts. Club members gather to learn about aviation, talk about changes in aviation, and share aviation hobbies and interests. Guest speakers will also be invited to discuss aviation."
276,"Wish Youth Network Society Waterloo (WYNS Waterloo) works to provide emotional and financial support to youth with serious medical conditions as well as their families, fostering a community of optimism and support. This is done by sustaining long term relationships with local hospitals and patients, introducing a volunteer system that goes beyond fundraising for third party organizations, and engaging the local Waterloo community about healthcare, empowering youth."
277,"WiSTEM (Women in Science, Technology, Engineering, and Math) was founded in Spring 2013 by UW students who want to promote equality in STEM disciplines. Although we focus on the issue of gender imbalance, we encourage both males and females, grads and undergrads, and anyone with a connection to STEM to participate. Our activities are a mix of skills workshops, topical discussions, homework help, speakers, and special trips. We hope to deliver a regular programme of events spanning all STEM topics which promote collaboration, creativity, and open-mindedness to all students."
278,"UW World Vision is the official university chapter of World Vision Canada, committed to advocating on behalf of the most vulnerable in the world. We raise awareness for the most pressing global issues and fundraise for relief and development projects aimed to create lasting change in the lives of children, families, and communities to overcome poverty and injustice. We invite students of all interests, backgrounds, and skills to take part in the global fight for human rights and equality."
279,"UW Young Greens is for those interested in learning more about the Green Party of Canada, whether or not they are an active supporter. We hope to share the Green Party's values with others, and discuss how they fit in with today's society."
280,"The key values that the club will maintain are Sustainability, Social Justice,  Grassroots Democracy, Nonviolence, Decentralization, Community-Based Economics, Gender Equality/Feminism, Diversity, Personal and Global Responsibility, Ecological Wisdom (from the Green Party of Ontario, 2014)"
281,"There will be events and discussions in tune with these values, promoting political conversation on campus and with the community. We are involved in local Green Party events and run workshops, skills training, social functions, and encourage discussion on political involvement for the benefit of the environment. Come out to our meetings and events to learn more and find out how to get involved!"
282,"The Young Liberals of Canada is the organization for progressive, politically-minded youth. The University of Waterloo Young Liberals, exists to help students, faculty and citizens get informed and engaged in Canadian politics. Our mission is to inform and inspire the next generation of political leaders in the Kitchener-Waterloo region and across Canada, and connect Canadian youth with the political process. "
283,"We strive to provide an inclusive environment where political opinions and ideas can be shared freely, and group members are given opportunities for active participation, personal growth, and leadership. We are affiliated with the Liberal Party of Canada, and believe in the liberal ideals of freedom, justice and equal opportunity for all Canadians."
